,file_name,author,attribution_required,license,license_URL
85,File:World_of_Birds_Wildlife_Sanctuary_and_Monkey_Park_2018-07-29_05.webm,Спасимир,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
86,File:Eastern_Montpellier_Snake_(Malpolon_insignitus_fuscus)_probably.webm,Vis M,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
87,File:Honey_bees_drinking_water.webm,Goovaeh8fot6yugh,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
88,File:Bee_wash_and_brush_up._Andrena_dorsata.webm,Amada44,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
89,File:A_busy_bee.webm,Nitti90,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
90,File:Baby_hummingbird%27s_nest.webm,The Nature Box,true,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
91,File:Satin_Bower_Bird._Female_flies_in._video.webm,Vis M,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
92,File:Gelada_(Theropithecus_gelada).webm,The Nature Box,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
93,File:Tufted_capuchin_monkey_(Cebus_apella).webm,The Nature Box,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
94,File:Proboscis_Monkey_(Nasalis_larvatus)_male_eating.webm,Jarble,true,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
95,File:Mantled_Howler_Monkey._Alouatta_palliata_video.webm,Vis M,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
96,File:Proboscis_Monkey_(Nasalis_larvatus)_male_eating_leaves.webm,Jarble,true,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
97,"File:Dusky_leaf_monkey,_Trachypithecus_obscurus_-_Kaeng_Krachan_National_Park.webm",Rushenb,true,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
98,File:Mantled_Howler_Monkeys._Alouatta_palliata_video.webm,Vis M,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
99,File:Savanna_Elephants_(Loxodonta_africana)_at_Mphafa_waterhole_....webm,Jarble,true,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
100,File:Jellyfish_at_Monterey_Bay_Aquarium_4_2017-11-21.webm,Fastily,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
101,File:Lion%27s_mane_jellyfish_(Cyanea_capillata)_in_the_Salish_Sea.webm,The Nature Box,true,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
102,File:Spotted_jelly_(Mastigias_papua)_in_Vancouver.webm,The Nature Box,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
103,File:Prairie_plants_in_Indiana.webm,The Nature Box,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
104,File:Black-tailed_prairie_dog_(Cynomys_ludovicianus)_burrowing.webm,The Nature Box,true,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
105,File:Raccoon_on_Seedskadee_National_Wildlife_Refuge.webm,Jarble,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
106,File:Moose_on_Seedskadee_National_Wildlife_Refuge.webm,Eatcha,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
107,File:Sleigh_Rides_on_the_National_Elk_Refuge.webm,Jarble,false,Public domain,N/A
108,File:Video_of_a_horse_rolling.webm,Amada44,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
109,File:007_horse_video.webm,Eatcha,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
110,File:Red_rock_crab_(Graspus_graspus).webm,The Nature Box,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
111,File:Agile_frog_(Rana_dalmatina)_in_Romania.webm,The Nature Box,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
112,File:Frogs_Pelophylax_ridibundus_with_two_vocal_sacs_calling_(video).webm,Spiritia,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
113,File:Common_Ostriches_(Struthio_camelus).webm,Jarble,true,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
114,File:Common_Ostriches_(Struthio_camelus)_pair_with_chicks_....webm,Jarble,true,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
115,File:A_Ostrich_in_South_Africa.webm,Amada44,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
